Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Tenure_Years,Performance_Level
EMP1064,David,Davis,35.0,Admin-New York,Active,2020-02-20,53234.96,david.davis@example.com,-3754821455,Good,0,Admin,New York,6.37,3
EMP1065,Bob,Johnson,40.0,Finance-Nevada,Pending,2021-02-02,100284.21,bob.johnson@example.com,-5328632665,Excellent,0,Finance,Nevada,5.42,4
EMP1066,Grace,Brown,30.0,Admin-Nevada,Pending,2020-01-12,112486.19,grace.brown@example.com,-7850720810,Excellent,1,Admin,Nevada,6.48,4
EMP1067,Bob,Smith,40.0,Admin-New York,Pending,2022-11-26,82518.49,bob.smith@example.com,-5562606028,Poor,1,Admin,New York,3.6,1
EMP1068,Bob,Brown,40.0,Admin-Florida,Pending,2022-12-23,119152.47,bob.brown@example.com,-846684549,Poor,1,Admin,Florida,3.53,1
EMP1069,Heidi,Miller,30.0,DevOps-Illinois,Inactive,2024-08-28,113479.83,heidi.miller@example.com,-4892673898,Good,0,DevOps,Illinois,1.85,3
EMP1070,Charlie,Johnson,40.0,Finance-California,Active,2024-09-16,94636.3,charlie.johnson@example.com,-7563410855,Poor,0,Finance,California,1.8,1
EMP1071,Heidi,Johnson,30.0,HR-Florida,Active,2024-01-01,70000.97,heidi.johnson@example.com,-2884318847,Average,1,HR,Florida,2.51,2
EMP1072,Frank,Smith,30.0,Cloud Tech-New York,Active,2021-04-18,76812.47,frank.smith@example.com,-5200894345,Poor,0,Cloud Tech,New York,5.21,1
EMP1073,David,Johnson,25.0,Finance-Florida,Inactive,2023-01-16,82614.7,david.johnson@example.com,-8105485100,Average,1,Finance,Florida,3.46,2
EMP1074,Grace,Jones,40.0,Sales-Nevada,Active,2024-10-20,111645.97,grace.jones@example.com,-7490753997,Good,1,Sales,Nevada,1.7,3
EMP1075,Heidi,Johnson,25.0,HR-California,Inactive,2024-10-13,112414.91,heidi.johnson@example.com,-9354492682,Good,0,HR,California,1.72,3
EMP1076,David,Brown,40.0,Admin-California,Inactive,2022-09-21,52031.74,david.brown@example.com,-1589357125,Good,1,Admin,California,3.78,3
EMP1077,Grace,Brown,30.0,Finance-New York,Pending,2022-12-29,51887.65,grace.brown@example.com,-6110627370,Good,0,Finance,New York,3.51,3
EMP1078,Alice,Davis,25.0,DevOps-Florida,Active,2024-11-10,82318.89,alice.davis@example.com,-5869886496,Good,1,DevOps,Florida,1.65,3
EMP1079,Grace,Brown,35.0,Admin-Florida,Inactive,2021-11-22,103286.08,grace.brown@example.com,-6776228276,Average,0,Admin,Florida,4.61,2
EMP1080,Grace,Davis,35.0,Cloud Tech-Florida,Active,2024-03-14,87759.33,grace.davis@example.com,-2881377027,Average,0,Cloud Tech,Florida,2.31,2
EMP1081,Frank,Brown,30.0,DevOps-Texas,Pending,2020-03-23,102796.32,frank.brown@example.com,-5196115939,Good,0,DevOps,Texas,6.28,3
EMP1082,David,Jones,25.0,Sales-New York,Active,2020-09-15,83149.27,david.jones@example.com,-8215454469,Poor,1,Sales,New York,5.8,1
EMP1083,David,Garcia,40.0,DevOps-California,Inactive,2020-12-09,92412.49,david.garcia@example.com,-2296044326,Excellent,1,DevOps,California,5.57,4
EMP1084,Bob,Davis,30.0,HR-Texas,Pending,2020-02-22,115022.1,bob.davis@example.com,-185106793,Good,0,HR,Texas,6.36,3
EMP1085,Grace,Williams,40.0,DevOps-New York,Active,2023-04-27,98343.01,grace.williams@example.com,-9756792286,Poor,0,DevOps,New York,3.19,1
EMP1086,Bob,Miller,35.0,DevOps-Illinois,Active,2024-06-18,118869.1,bob.miller@example.com,-7725199662,Excellent,1,DevOps,Illinois,2.04,4
EMP1087,Frank,Smith,30.0,Finance-Nevada,Inactive,2020-05-21,85417.26,frank.smith@example.com,-6580741208,Good,1,Finance,Nevada,6.12,3
EMP1088,Grace,Brown,40.0,Cloud Tech-Florida,Inactive,2023-07-25,112410.25,grace.brown@example.com,-4818139889,Good,1,Cloud Tech,Florida,2.94,3
EMP1089,Charlie,Johnson,40.0,Admin-Nevada,Pending,2023-08-25,68905.77,charlie.johnson@example.com,-9837801819,Average,0,Admin,Nevada,2.86,2
EMP1090,Heidi,Garcia,40.0,Finance-Nevada,Pending,2021-07-03,72561.32,heidi.garcia@example.com,-4339718955,Excellent,1,Finance,Nevada,5.0,4
EMP1091,Bob,Brown,35.0,Finance-New York,Inactive,2023-03-13,92723.22,bob.brown@example.com,-9070562607,Excellent,1,Finance,New York,3.31,4
EMP1092,Alice,Johnson,40.0,HR-New York,Inactive,2021-03-10,74837.75,alice.johnson@example.com,-5641118241,Poor,0,HR,New York,5.32,1
EMP1093,Eva,Miller,30.0,DevOps-California,Pending,2020-01-21,86163.91,eva.miller@example.com,-2412462094,Average,1,DevOps,California,6.45,2
EMP1094,David,Miller,40.0,Finance-Illinois,Active,2023-11-15,83326.52,david.miller@example.com,-2004615264,Average,1,Finance,Illinois,2.63,2
EMP1095,Heidi,Miller,25.0,Cloud Tech-California,Active,2022-04-08,98425.1,heidi.miller@example.com,-4610339936,Average,1,Cloud Tech,California,4.24,2
EMP1096,Frank,Johnson,40.0,Sales-Illinois,Inactive,2022-05-21,119764.2,frank.johnson@example.com,-8861405785,Average,0,Sales,Illinois,4.12,2
EMP1097,Frank,Brown,40.0,HR-California,Inactive,2021-04-17,58445.91,frank.brown@example.com,-1706304890,Excellent,0,HR,California,5.21,4
EMP1098,Bob,Miller,30.0,DevOps-New York,Active,2021-03-19,101702.33,bob.miller@example.com,-3824967182,Excellent,0,DevOps,New York,5.29,4
EMP1100,Charlie,Davis,35.0,Cloud Tech-Texas,Pending,2021-08-21,98819.22,charlie.davis@example.com,-794200748,Good,0,Cloud Tech,Texas,4.87,3
EMP1101,Heidi,Johnson,25.0,Cloud Tech-Illinois,Inactive,2022-08-19,83509.99,heidi.johnson@example.com,-4653984027,Average,0,Cloud Tech,Illinois,3.87,2
EMP1102,Alice,Johnson,35.0,Finance-Texas,Active,2022-03-31,84422.26,alice.johnson@example.com,-9141612845,Average,0,Finance,Texas,4.26,2
EMP1103,Alice,Brown,30.0,Admin-Illinois,Inactive,2020-06-23,119574.27,alice.brown@example.com,-3985547434,Average,1,Admin,Illinois,6.03,2
EMP1104,Grace,Johnson,30.0,Sales-Illinois,Active,2024-05-07,86580.08,grace.johnson@example.com,-5379502096,Good,1,Sales,Illinois,2.16,3
EMP1105,Heidi,Johnson,35.0,Sales-Florida,Inactive,2023-03-10,93471.91,heidi.johnson@example.com,-26876810,Poor,0,Sales,Florida,3.32,1
EMP1106,Bob,Miller,30.0,DevOps-New York,Inactive,2023-09-14,55683.12,bob.miller@example.com,-8071569561,Poor,1,DevOps,New York,2.8,1
EMP1107,Bob,Brown,30.0,Cloud Tech-Florida,Inactive,2023-11-12,91566.78,bob.brown@example.com,-175370303,Good,1,Cloud Tech,Florida,2.64,3
EMP1108,David,Miller,35.0,DevOps-California,Pending,2024-10-26,81782.19,david.miller@example.com,-5319433749,Good,0,DevOps,California,1.69,3
EMP1109,Eva,Davis,30.0,DevOps-New York,Inactive,2020-08-23,88119.37,eva.davis@example.com,-4793036148,Good,1,DevOps,New York,5.86,3
EMP1110,Eva,Garcia,30.0,Cloud Tech-Texas,Active,2024-06-11,71532.83,eva.garcia@example.com,-8728399920,Good,1,Cloud Tech,Texas,2.06,3
EMP1111,Eva,Davis,40.0,Cloud Tech-Florida,Pending,2021-09-14,98981.36,eva.davis@example.com,-9212493842,Good,1,Cloud Tech,Florida,4.8,3
EMP1112,Heidi,Garcia,40.0,Cloud Tech-Illinois,Active,2024-12-26,80242.01,heidi.garcia@example.com,-894870604,Good,1,Cloud Tech,Illinois,1.52,3
EMP1113,Eva,Miller,25.0,Cloud Tech-New York,Pending,2024-09-08,110236.18,eva.miller@example.com,-6641877579,Average,1,Cloud Tech,New York,1.82,2
EMP1114,Alice,Davis,35.0,Sales-Texas,Active,2022-08-21,86327.47,alice.davis@example.com,-3046875062,Average,0,Sales,Texas,3.87,2
EMP1115,Eva,Brown,30.0,Sales-Florida,Pending,2024-07-25,84420.81,eva.brown@example.com,-5190361331,Average,0,Sales,Florida,1.94,2
EMP1116,Frank,Smith,40.0,HR-California,Pending,2020-08-02,110041.32,frank.smith@example.com,-5411076094,Average,0,HR,California,5.92,2
EMP1117,Heidi,Miller,35.0,DevOps-Florida,Pending,2020-03-16,81837.81,heidi.miller@example.com,-4317350582,Good,1,DevOps,Florida,6.3,3
EMP1118,Frank,Garcia,25.0,Finance-Illinois,Active,2023-09-08,110855.72,frank.garcia@example.com,-1997179109,Poor,0,Finance,Illinois,2.82,1
EMP1119,Alice,Jones,30.0,Sales-California,Pending,2024-03-29,84894.52,alice.jones@example.com,-651207048,Excellent,1,Sales,California,2.26,4
EMP1120,Alice,Garcia,30.0,HR-Illinois,Active,2021-08-12,80668.13,alice.garcia@example.com,-6110804660,Good,1,HR,Illinois,4.89,3
EMP1121,Bob,Jones,25.0,DevOps-Illinois,Active,2023-12-24,61086.47,bob.jones@example.com,-9639907675,Excellent,1,DevOps,Illinois,2.53,4
EMP1122,Grace,Johnson,25.0,Admin-Texas,Inactive,2020-08-28,95339.68,grace.johnson@example.com,-9915078592,Poor,1,Admin,Texas,5.85,1
EMP1123,Eva,Davis,30.0,DevOps-California,Inactive,2024-09-05,83774.97,eva.davis@example.com,-1109193927,Average,0,DevOps,California,1.83,2
EMP1124,Heidi,Jones,30.0,Admin-Florida,Active,2023-05-12,85576.86,heidi.jones@example.com,-4567972319,Poor,0,Admin,Florida,3.15,1
EMP1125,Bob,Garcia,35.0,Finance-California,Pending,2021-07-01,107438.46,bob.garcia@example.com,-249685497,Good,1,Finance,California,5.01,3
EMP1126,Eva,Johnson,30.0,Sales-Nevada,Inactive,2024-11-07,60401.68,eva.johnson@example.com,-2274954507,Average,0,Sales,Nevada,1.65,2
EMP1127,Frank,Smith,35.0,Sales-Illinois,Inactive,2022-07-21,115299.66,frank.smith@example.com,-9203880652,Good,1,Sales,Illinois,3.95,3
EMP1128,David,Brown,30.0,Finance-New York,Inactive,2020-03-30,72272.34,david.brown@example.com,-3315377958,Average,0,Finance,New York,6.26,2
EMP1129,Grace,Brown,40.0,DevOps-Nevada,Active,2022-10-11,117537.71,grace.brown@example.com,-9594652169,Excellent,0,DevOps,Nevada,3.73,4
EMP1130,Frank,Brown,25.0,Finance-Texas,Pending,2022-07-24,51074.33,frank.brown@example.com,-7303379336,Excellent,1,Finance,Texas,3.95,4
EMP1131,Charlie,Jones,25.0,Finance-California,Inactive,2023-06-30,98489.32,charlie.jones@example.com,-5636205014,Excellent,0,Finance,California,3.01,4
EMP1132,Frank,Smith,30.0,Finance-California,Pending,2024-01-11,112120.71,frank.smith@example.com,-812473949,Poor,1,Finance,California,2.48,1
EMP1133,Alice,Jones,30.0,Cloud Tech-New York,Pending,2023-11-02,114465.04,alice.jones@example.com,-334234257,Good,0,Cloud Tech,New York,2.67,3
EMP1134,Bob,Davis,40.0,Cloud Tech-Nevada,Pending,2024-11-22,57035.51,bob.davis@example.com,-3230241025,Poor,1,Cloud Tech,Nevada,1.61,1
EMP1135,Eva,Jones,25.0,Cloud Tech-California,Active,2021-08-23,75092.43,eva.jones@example.com,-1534735527,Excellent,1,Cloud Tech,California,4.86,4
EMP1136,David,Smith,30.0,Finance-Illinois,Pending,2024-06-11,62603.98,david.smith@example.com,-9611223385,Good,0,Finance,Illinois,2.06,3
EMP1137,Grace,Smith,30.0,DevOps-New York,Inactive,2023-04-09,60018.24,grace.smith@example.com,-5596309937,Excellent,0,DevOps,New York,3.24,4
EMP1138,Eva,Davis,40.0,HR-Nevada,Active,2024-07-05,82567.73,eva.davis@example.com,-4253042896,Poor,1,HR,Nevada,2.0,1
EMP1139,Charlie,Smith,25.0,Finance-California,Pending,2021-09-04,94725.71,charlie.smith@example.com,-3179128684,Poor,0,Finance,California,4.83,1
EMP1140,Eva,Garcia,40.0,HR-New York,Inactive,2024-10-13,83824.56,eva.garcia@example.com,-7872558776,Poor,0,HR,New York,1.72,1
EMP1141,Frank,Smith,30.0,HR-Nevada,Inactive,2020-02-14,118456.11,frank.smith@example.com,-4969033372,Excellent,1,HR,Nevada,6.38,4
EMP1142,Eva,Brown,25.0,Sales-Nevada,Pending,2020-04-10,113743.19,eva.brown@example.com,-6346692547,Good,1,Sales,Nevada,6.23,3
EMP1143,Eva,Garcia,30.0,Sales-California,Active,2023-07-27,63309.24,eva.garcia@example.com,-1214785389,Good,0,Sales,California,2.94,3
EMP1144,Charlie,Garcia,25.0,DevOps-Nevada,Active,2021-09-24,105202.73,charlie.garcia@example.com,-7895677664,Excellent,1,DevOps,Nevada,4.77,4
EMP1145,Frank,Davis,30.0,Cloud Tech-California,Inactive,2024-03-10,79085.22,frank.davis@example.com,-7546027340,Good,1,Cloud Tech,California,2.32,3
EMP1146,Frank,Williams,30.0,Sales-California,Active,2021-06-10,113983.43,frank.williams@example.com,-5148881430,Excellent,1,Sales,California,5.07,4
EMP1147,Eva,Williams,35.0,Cloud Tech-Florida,Active,2020-10-15,102790.6,eva.williams@example.com,-1150835353,Good,0,Cloud Tech,Florida,5.72,3
EMP1148,Grace,Smith,30.0,HR-Texas,Inactive,2020-01-29,68512.1,grace.smith@example.com,-4439284043,Average,0,HR,Texas,6.43,2
EMP1149,Frank,Garcia,35.0,Sales-Florida,Pending,2022-01-30,57584.23,frank.garcia@example.com,-5669078262,Average,1,Sales,Florida,4.42,2
EMP1150,Alice,Williams,30.0,Sales-California,Pending,2021-03-29,95335.67,alice.williams@example.com,-3373898774,Poor,0,Sales,California,5.26,1
EMP1151,Heidi,Williams,35.0,DevOps-Florida,Active,2020-10-13,53174.28,heidi.williams@example.com,-1536637779,Average,1,DevOps,Florida,5.72,2
EMP1152,Heidi,Smith,25.0,Cloud Tech-New York,Pending,2020-10-04,77205.21,heidi.smith@example.com,-5292407552,Average,0,Cloud Tech,New York,5.75,2
EMP1153,Grace,Williams,30.0,DevOps-Nevada,Active,2024-12-18,79041.92,grace.williams@example.com,-6668459089,Average,1,DevOps,Nevada,1.54,2
EMP1154,Heidi,Jones,30.0,Finance-California,Active,2023-11-14,75937.1,heidi.jones@example.com,-2259999662,Excellent,1,Finance,California,2.64,4
EMP1155,David,Johnson,35.0,Cloud Tech-Nevada,Inactive,2023-01-20,113118.73,david.johnson@example.com,-6186371596,Average,0,Cloud Tech,Nevada,3.45,2
EMP1156,Alice,Davis,40.0,HR-New York,Active,2024-10-02,107693.38,alice.davis@example.com,-4121820969,Average,1,HR,New York,1.75,2
EMP1157,David,Johnson,30.0,Cloud Tech-Texas,Inactive,2021-05-13,119217.46,david.johnson@example.com,-2316433480,Poor,0,Cloud Tech,Texas,5.14,1
EMP1158,David,Smith,25.0,Sales-New York,Pending,2021-03-18,106913.71,david.smith@example.com,-7058025661,Average,0,Sales,New York,5.3,2
EMP1159,Charlie,Brown,30.0,Cloud Tech-California,Active,2020-09-23,87815.08,charlie.brown@example.com,-1286716322,Average,1,Cloud Tech,California,5.78,2
EMP1160,Bob,Davis,25.0,Admin-Texas,Inactive,2024-06-05,105190.21,bob.davis@example.com,-4672994937,Good,1,Admin,Texas,2.08,3
EMP1161,Alice,Smith,30.0,HR-Texas,Active,2024-02-28,79467.24,alice.smith@example.com,-7430271692,Poor,0,HR,Texas,2.35,1
EMP1162,Bob,Garcia,40.0,Finance-California,Pending,2023-04-30,57633.78,bob.garcia@example.com,-8597779013,Poor,1,Finance,California,3.18,1
EMP1163,Alice,Brown,30.0,HR-Florida,Pending,2020-03-04,54257.78,alice.brown@example.com,-7546926328,Poor,1,HR,Florida,6.33,1
EMP1164,Grace,Johnson,40.0,DevOps-Texas,Inactive,2023-12-29,113679.06,grace.johnson@example.com,-6762916031,Poor,1,DevOps,Texas,2.51,1
EMP1165,Bob,Smith,35.0,Sales-New York,Active,2020-09-15,69251.12,bob.smith@example.com,-4841376814,Poor,1,Sales,New York,5.8,1
EMP1166,Frank,Garcia,40.0,Sales-Illinois,Inactive,2022-07-18,85388.58,frank.garcia@example.com,-1185672437,Poor,1,Sales,Illinois,3.96,1
EMP1167,Bob,Davis,30.0,DevOps-New York,Inactive,2022-07-13,112166.37,bob.davis@example.com,-701765635,Excellent,0,DevOps,New York,3.98,4
EMP1168,Heidi,Davis,40.0,Finance-Nevada,Active,2021-10-02,79873.48,heidi.davis@example.com,-41257770,Average,0,Finance,Nevada,4.75,2
EMP1169,Frank,Miller,30.0,DevOps-Florida,Active,2020-07-05,108224.03,frank.miller@example.com,-1837274219,Poor,1,DevOps,Florida,6.0,1
EMP1170,Bob,Garcia,35.0,Admin-Illinois,Active,2023-04-16,116963.72,bob.garcia@example.com,-9124186209,Average,1,Admin,Illinois,3.22,2
EMP1171,Bob,Jones,40.0,HR-Nevada,Inactive,2024-11-12,114109.06,bob.jones@example.com,-4275230836,Average,1,HR,Nevada,1.64,2
EMP1172,Eva,Williams,30.0,HR-California,Active,2023-03-29,85518.88,eva.williams@example.com,-816470899,Excellent,0,HR,California,3.27,4
EMP1173,Heidi,Brown,30.0,Cloud Tech-California,Pending,2022-01-22,58041.97,heidi.brown@example.com,-6335331059,Poor,1,Cloud Tech,California,4.45,1
EMP1174,David,Garcia,40.0,Sales-Illinois,Pending,2023-10-14,94988.94,david.garcia@example.com,-531312205,Good,0,Sales,Illinois,2.72,3
EMP1175,Eva,Miller,25.0,Admin-California,Pending,2024-04-10,71628.93,eva.miller@example.com,-8155839385,Excellent,0,Admin,California,2.23,4
